Agent,Period,Job,PP,h_cum,h,c,w
8,29,3,0,67833.33333333333,2166.6666666666715,55266.016273459645,55304.24827247838
8,30,0,1,70000.0,2166.6666666666715,67726.94409058492,72854.85083180974
8,31,6,1,72166.66666666666,2166.666666666657,60398.70751501098,62533.39086621265
8,32,0,0,74333.33333333333,2166.6666666666715,65598.27840709427,69856.730150837
8,33,0,1,76500.0,2166.6666666666715,65255.7018422224,69374.22794679212
8,34,1,0,78666.66666666666,2166.666666666657,60635.71146423884,62867.199245406824
8,35,1,1,80833.33333333333,2166.6666666666715,60258.92039935436,62336.50760472446
8,36,3,0,83000.0,2166.6666666666715,57359.78013610507,58253.211459302926
8,37,4,1,85166.66666666666,2166.666666666657,56951.55542581314,57678.24707861005
8,38,1,0,87333.33333333333,2166.6666666666715,61849.49062959208,64576.74736562266
8,39,0,0,89500.0,2166.6666666666715,68020.85067197663,73268.80376334736
8,40,2,0,91666.66666666666,2166.666666666657,52516.755688833306,51432.0502659624
9,1,0,1,11500.0,2166.666666666668,21721.98081727077,46167.35622892101
9,2,5,1,13666.666666666666,2166.666666666666,13732.76675097938,33794.11180642016
9,3,0,1,15833.333333333332,2166.666666666666,26318.605734730096,50399.815341725094
9,4,3,0,18000.0,2166.666666666668,18845.79057062011,38753.89331666292
9,5,0,0,20166.666666666664,2166.6666666666642,27177.32821962794,49367.6231410623
9,6,3,0,22333.333333333332,2166.666666666668,22152.799450856644,41169.99181366026
9,7,0,1,24500.0,2166.666666666668,33780.963416296014,56426.857295005546
9,8,6,0,26666.666666666664,2166.6666666666642,26775.354211719132,45438.97183266589
9,9,3,0,28833.333333333332,2166.666666666668,26654.799068188662,44148.345611236844
9,10,1,1,31000.0,2166.666666666668,53682.991625318195,53074.63609199746
9,11,1,1,33166.666666666664,2166.6666666666642,51725.81405829128,50318.04796942434
9,12,0,0,35333.33333333333,2166.6666666666642,56837.38242277547,57517.44003207813
9,13,1,1,37500.0,2166.6666666666715,55486.80709699171,55615.22126336861
9,14,6,0,39666.666666666664,2166.6666666666642,51884.18941231162,50541.11184832623
9,15,4,1,41833.33333333333,2166.6666666666642,50555.75236727649,48670.07375672745
9,16,0,0,44000.0,2166.6666666666715,59277.589017913546,60954.350729455706
9,17,0,1,46166.666666666664,2166.6666666666642,59659.463771183895,61492.202494625206
9,18,2,0,48333.33333333333,2166.6666666666642,46947.00013124291,43587.324128511136
9,19,1,1,50500.0,2166.6666666666715,58437.15975297877,59770.647539406724
9,20,3,0,52666.666666666664,2166.6666666666642,52770.83092525978,51789.9027116335
9,21,0,0,54833.33333333333,2166.6666666666642,61842.29996893501,64566.61967455636
9,22,6,0,57000.0,2166.6666666666715,55459.945888158414,55577.38857487101
9,23,3,1,59166.666666666664,2166.6666666666642,56284.156186885535,56738.24815054301
9,24,0,0,61333.33333333333,2166.6666666666642,63195.622231732894,66472.70736863789
9,25,0,1,63499.99999999999,2166.6666666666642,63125.33955612592,66373.7176846844
9,26,2,1,65666.66666666666,2166.6666666666642,51544.86252273045,50063.18665173303
9,27,6,0,67833.33333333333,2166.6666666666715,57279.22797811867,58139.75771566011
9,28,2,0,70000.0,2166.6666666666715,50071.96781332857,47988.68706102616
